Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Distance_to_coast
452600,8.3252,41,880,129,322,126,9263.040773
358500,8.3014,21,7099,1106,2401,1138,10225.73307
352100,7.2574,52,1467,190,496,177,8259.085109
341300,5.6431,52,1274,235,558,219,7768.086571
342200,3.8462,52,1627,280,565,259,7768.086571
269700,4.0368,52,919,213,413,193,7768.086571
299200,3.6591,52,2535,489,1094,514,6843.020847
241400,3.12,52,3104,687,1157,647,6843.020847
226700,2.0804,42,2555,665,1206,595,6363.948013
261100,3.6912,52,3549,707,1551,714,6843.020847
281500,3.2031,52,2202,434,910,402,7349.620842
241800,3.2705,52,3503,752,1504,734,7349.620842
213500,3.075,52,2491,474,1098,468,7349.620842
191300,2.6736,52,696,191,345,174,6363.948013
159200,1.9167,52,2643,626,1212,620,7349.620842
140000,2.125,50,1120,283,697,264,7349.620842
152500,2.775,52,1966,347,793,331,7016.677244
155500,2.1202,52,1228,293,648,303,7016.677244
158700,1.9911,50,2239,455,990,419,6363.948013
162900,2.6033,52,1503,298,690,275,5976.288058
147500,1.3578,40,751,184,409,166,7016.677244
159800,1.7135,42,1639,367,929,366,7016.677244
113900,1.725,52,2436,541,1015,478,5976.288058
99700,2.1806,52,1688,337,853,325,5976.288058
132600,2.6,52,2224,437,1006,422,5976.288058
107500,2.4038,41,535,123,317,119,6781.863175
93800,2.4597,49,1130,244,607,239,6781.863175
105500,1.808,52,1898,421,1102,397,6781.863175
108900,1.6424,50,2082,492,1131,473,5698.726903
132000,1.6875,52,729,160,395,155,5698.726903
122300,1.9274,49,1916,447,863,378,5698.726903
115200,1.9615,52,2153,481,1168,441,5698.726903
110400,1.7969,48,1922,409,1026,335,5976.288058
104900,1.375,49,1655,366,754,329,4967.005194
109700,2.7303,51,2665,574,1258,536,4967.005194
97200,1.4861,49,1215,282,570,264,4967.005194
104500,1.0972,48,1798,432,987,374,4967.005194
103900,1.4103,52,1511,390,901,403,4629.273249
191400,3.48,52,1470,330,689,309,5427.301746
176000,2.5898,52,2432,715,1377,696,5427.301746
155400,2.0978,52,1665,419,946,395,5427.301746
150000,1.2852,51,936,311,517,249,5427.301746
118800,1.025,49,713,202,462,189,6363.948013
188800,3.9643,52,950,202,467,198,6363.948013
184400,3.0125,52,1443,311,660,292,5427.301746
182300,2.6768,52,1656,420,718,382,5427.301746
142500,2.026,50,1125,322,616,304,5427.301746
137500,1.7348,43,1007,312,558,253,4012.371429
187500,0.9506,40,624,195,423,160,4569.927385
112500,1.775,40,946,375,700,352,4012.371429
171900,0.9218,21,896,453,735,438,4012.371429
93800,1.5045,43,1868,456,1061,407,4012.371429
97500,1.1108,41,3221,853,1959,720,4012.371429
104200,1.2475,52,1630,456,1162,400,4012.371429
87500,1.6098,52,1170,235,701,233,3585.765695
83100,1.4113,52,945,243,576,220,3585.765695
87500,1.5057,52,1238,288,622,259,3585.765695
85300,0.8172,52,1489,335,728,244,3585.765695
80300,1.2171,52,1387,341,1074,304,3585.765695
60000,2.5625,2,158,43,94,57,3340.660078
75700,3.3929,52,1121,211,554,187,4442.149809
75000,6.1183,49,135,29,86,23,3340.660078
86100,0.9011,50,760,190,377,122,2249.485926
76100,1.191,52,1224,237,521,159,2214.986056
73500,2.5938,48,828,182,392,133,2214.986056
78400,1.1667,52,1010,209,604,187,2214.986056
84400,0.8056,48,1455,354,788,332,2214.986056
81300,2.6094,52,1027,244,492,147,1197.174355
85000,1.8516,52,572,109,274,82,2214.986056
129200,0.9802,46,2801,644,1823,611,2249.485926
82500,1.7719,26,768,152,392,127,2249.485926
95200,0.7286,46,935,297,582,277,2249.485926
75000,1.75,49,844,204,560,152,2249.485926
67500,0.4999,46,12,4,18,7,2249.485926
137500,2.483,20,835,161,290,133,2249.485926
177500,0.9241,17,1237,462,762,439,2599.638961
102100,2.4464,36,2914,562,1236,509,2599.638961
108300,1.1111,19,1207,243,721,207,2599.638961
112500,0.8026,23,1745,374,1054,325,2249.485926
131300,2.0114,38,684,176,344,155,1769.573998
162500,1.5,17,924,289,609,289,2599.638961
112500,1.1667,52,210,56,183,56,3162.273012
112500,1.5208,52,340,97,200,87,2599.638961
137500,0.8075,52,386,164,346,155,2599.638961
118800,1.8088,35,948,184,467,169,2599.638961
98200,2.4083,52,773,143,377,115,2599.638961
118800,0.977,40,880,451,582,380,3162.273012
162500,0.76,10,875,348,546,330,3162.273012
137500,0.9722,10,105,42,125,39,2524.614616
500001,1.2434,52,249,78,396,85,2524.614616
162500,2.0938,16,994,392,800,362,2524.614616
137500,0.8668,52,215,87,904,88,1769.573998
162500,0.75,52,96,31,191,34,1769.573998
187500,2.6354,27,1055,347,718,302,2284.786543
179200,1.8477,39,1715,623,1327,467,2524.614616
130000,2.0096,36,5329,2477,3469,2323,3340.671619
183800,2.8345,31,4596,1331,2048,1180,4569.927385
125000,2.0062,29,335,107,202,91,3845.221777
170000,1.2185,22,3682,1270,2024,1250,4569.927385
193100,2.6104,37,3633,1085,1838,980,4569.927385
257800,2.4912,29,4656,1414,2304,1250,4595.14988
273400,3.2177,28,5806,1603,2563,1497,4595.14988
237500,3.125,39,854,242,389,228,4595.14988
350000,2.5795,52,2155,701,895,613,4595.14988
335700,2.8406,34,5871,1914,2689,1789,3845.221777
313400,4.9306,52,1509,225,674,244,5923.307236
268500,3.2727,52,2026,482,709,456,5384.142107
259400,3.1691,52,1758,460,686,422,4595.14988
275700,3.9,52,3481,751,1444,718,5923.307236
225000,3.9063,28,3337,855,1520,802,5216.612985
262500,5.0917,52,1424,289,550,253,5216.612985
218500,2.6429,32,3809,1098,1806,1022,5216.612985
255000,3.0233,26,3959,1196,1749,1217,5216.612985
224100,3.1484,52,2376,559,939,519,5981.936281
243100,3.4722,35,1613,428,675,422,5981.936281
231600,3.1429,52,1279,287,534,291,5981.936281
218500,2.4234,28,5022,1750,2558,1661,5981.936281
234100,3.0897,52,4190,1105,1786,1037,5981.936281
327600,5.8596,50,2515,399,970,373,8006.933746
347600,5.2868,47,3175,454,1098,485,8006.933746
366100,5.956,41,2576,406,794,376,6607.194021
335000,4.9643,37,334,54,98,47,8259.085109
373600,6.3434,52,2800,411,1061,403,8810.498285
389500,5.1773,52,3529,574,1177,555,7395.763579
391100,7.2354,52,2612,365,901,367,8259.085109
337300,5.457,28,5287,1048,2031,956,9411.713364
295200,7.5,50,2935,473,1031,479,8664.175753
292300,6.0194,44,3424,597,1358,597,9357.78709
411500,7.5544,40,4991,674,1616,654,8748.161389
311500,6.0666,30,2211,346,844,343,10080.26295
325900,7.0548,34,3038,490,1140,496,9357.78709
392600,11.6017,18,1617,210,533,194,10825.82592
319300,7.4882,35,2865,460,1072,443,10080.26295
333300,6.8976,34,5065,788,1627,766,8748.161389
335200,8.2049,28,1326,184,463,190,10303.62416
351200,8.401,26,1589,223,542,211,9517.129435
368900,6.8538,29,1791,271,661,269,10303.62416
365900,8.317,32,1835,264,635,263,9879.458244
366700,7.0175,37,1229,181,420,176,9056.084428
362800,6.3302,39,3770,534,1265,500,9056.084428
483300,6.3624,30,292,38,126,52,9430.448165
331400,7.0549,52,2375,333,813,350,8244.10925
323500,6.7851,45,2964,436,1067,426,8713.348297
216700,2.8929,50,2833,605,1260,552,7632.426885
233100,3.0812,38,2254,535,951,487,7632.426885
296400,5.2402,52,1389,212,510,224,7865.952463
273700,6.5217,52,1971,335,765,308,7026.228662
227700,3.2632,52,2183,465,1129,460,6763.647537
199600,3.0298,52,2286,464,1073,441,6763.647537
239800,4.5428,52,2721,541,1185,515,6763.647537
270100,4.072,52,2024,339,756,340,7026.228662
302100,5.3509,52,2944,536,1034,521,7026.228662
269500,3.1603,52,2033,486,787,459,5897.79929
314700,4.7708,52,1433,229,612,213,6197.296335
390100,8.1564,52,2927,402,1021,380,7026.228662
410300,8.8793,52,2315,292,861,258,6197.296335
352400,6.8591,52,2485,313,953,327,5384.142107
287300,6.0302,52,1490,238,634,256,5384.142107
348700,7.508,52,2814,365,878,352,6197.296335
243800,2.7477,52,2093,550,918,483,5384.142107
211500,2.1944,52,888,168,360,175,5036.394117
218400,3.0149,52,2087,510,1197,488,4182.178356
269900,3.675,52,2513,502,1048,518,5384.142107
218800,3.225,46,3232,835,1373,747,4595.14988
225000,2.9345,42,4120,1065,1715,1015,4182.178356
250000,2.1429,43,2364,792,1359,722,4182.178356
171400,1.6121,41,1471,469,1062,413,4182.178356
193800,1.3929,29,2468,864,1335,773,4182.178356
125000,2.3173,27,1632,492,1171,429,4920.813655
97500,1.7772,45,1786,526,1475,460,4042.114695
125000,2.6458,50,629,188,742,196,4042.114695
138800,2.181,52,1339,391,1086,363,4042.114695
116700,2.2303,36,1678,606,1645,543,4182.178356
151800,1.6504,43,2344,647,1710,644,4182.178356
127000,2.2697,52,996,228,731,228,5036.394117
128600,2.1563,52,1591,373,1118,347,5036.394117
140600,2.1348,52,1586,398,1006,335,5036.394117
182700,2.6292,47,2046,588,1213,554,5036.394117
146900,2.3833,52,1192,289,772,257,5897.79929
122800,2.957,52,1803,420,1321,401,5036.394117
169300,2.5238,49,2838,749,1487,677,5036.394117
126600,1.9375,52,783,184,488,186,5897.79929
127900,1.9028,51,1590,414,949,392,5897.79929
123500,2.25,50,1746,480,1149,415,5897.79929
111900,2.3929,52,1252,299,844,280,5897.79929
112800,2.1917,43,5963,1344,4367,1231,5799.521768
107900,2.9357,52,1783,395,1659,412,5799.521768
137500,1.8854,30,999,264,1011,263,5799.521768
105500,2.1638,39,1469,431,1464,389,4920.813655
95500,2.125,47,1372,395,1237,303,4920.813655
116100,3.375,52,674,180,647,168,4920.813655
112200,2.2542,43,1626,376,1284,357,4920.813655
75000,2.1,51,175,43,228,55,4042.114695
112500,1.6,39,461,129,381,123,4042.114695
125000,3.625,52,902,237,846,227,4042.114695
115000,1.6929,20,2373,779,1659,676,3340.671619
95000,1.6471,52,391,128,520,138,4226.277699
96400,2.59,52,1137,301,866,259,4226.277699
72000,2.57,52,769,206,612,183,4276.796616
71300,2.6429,52,472,146,415,126,5377.371952
