House,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Distance_to_coast
House 1,8.3252,41,880,129,322,126,9263.040773
House 2,8.3014,21,7099,1106,2401,1138,10225.73307
House 3,7.2574,52,1467,190,496,177,8259.085109
House 4,5.6431,52,1274,235,558,219,7768.086571
House 5,3.8462,52,1627,280,565,259,7768.086571
House 6,4.0368,52,919,213,413,193,7768.086571
House 7,3.6591,52,2535,489,1094,514,6843.020847
House 8,3.12,52,3104,687,1157,647,6843.020847
House 9,2.0804,42,2555,665,1206,595,6363.948013
House 10,3.6912,52,3549,707,1551,714,6843.020847
House 11,3.2031,52,2202,434,910,402,7349.620842
House 12,3.2705,52,3503,752,1504,734,7349.620842
House 13,3.075,52,2491,474,1098,468,7349.620842
House 14,2.6736,52,696,191,345,174,6363.948013
House 15,1.9167,52,2643,626,1212,620,7349.620842
House 16,2.125,50,1120,283,697,264,7349.620842
House 17,2.775,52,1966,347,793,331,7016.677244
House 18,2.1202,52,1228,293,648,303,7016.677244
House 19,1.9911,50,2239,455,990,419,6363.948013
House 20,2.6033,52,1503,298,690,275,5976.288058
House 21,1.3578,40,751,184,409,166,7016.677244
House 22,1.7135,42,1639,367,929,366,7016.677244
House 23,1.725,52,2436,541,1015,478,5976.288058
House 24,2.1806,52,1688,337,853,325,5976.288058
House 25,2.6,52,2224,437,1006,422,5976.288058
House 26,2.4038,41,535,123,317,119,6781.863175
House 27,2.4597,49,1130,244,607,239,6781.863175
House 28,1.808,52,1898,421,1102,397,6781.863175
House 29,1.6424,50,2082,492,1131,473,5698.726903
House 30,1.6875,52,729,160,395,155,5698.726903
House 31,1.9274,49,1916,447,863,378,5698.726903
House 32,1.9615,52,2153,481,1168,441,5698.726903
House 33,1.7969,48,1922,409,1026,335,5976.288058
House 34,1.375,49,1655,366,754,329,4967.005194
House 35,2.7303,51,2665,574,1258,536,4967.005194
House 36,1.4861,49,1215,282,570,264,4967.005194
House 37,1.0972,48,1798,432,987,374,4967.005194
House 38,1.4103,52,1511,390,901,403,4629.273249
House 39,3.48,52,1470,330,689,309,5427.301746
House 40,2.5898,52,2432,715,1377,696,5427.301746
House 41,2.0978,52,1665,419,946,395,5427.301746
House 42,1.2852,51,936,311,517,249,5427.301746
House 43,1.025,49,713,202,462,189,6363.948013
House 44,3.9643,52,950,202,467,198,6363.948013
House 45,3.0125,52,1443,311,660,292,5427.301746
House 46,2.6768,52,1656,420,718,382,5427.301746
House 47,2.026,50,1125,322,616,304,5427.301746
House 48,1.7348,43,1007,312,558,253,4012.371429
House 49,0.9506,40,624,195,423,160,4569.927385
House 50,1.775,40,946,375,700,352,4012.371429
House 51,0.9218,21,896,453,735,438,4012.371429
House 52,1.5045,43,1868,456,1061,407,4012.371429
House 53,1.1108,41,3221,853,1959,720,4012.371429
House 54,1.2475,52,1630,456,1162,400,4012.371429
House 55,1.6098,52,1170,235,701,233,3585.765695
House 56,1.4113,52,945,243,576,220,3585.765695
House 57,1.5057,52,1238,288,622,259,3585.765695
House 58,0.8172,52,1489,335,728,244,3585.765695
